Name,F,M,Total,Era
Adeja,115,,115,Modern
Adejah,25,,25,Modern
Adekemi,5,,5,Modern
Adekunle,,61,61,Modern
Adel,395,857,1252,Modern
Adela,4704,,4704,Modern
Adelade,20,,20,Modern
Adelae,43,,43,Modern
Adelai,58,,58,Modern
Adelaida,1405,,1405,Modern
Adelaide,4300,,4300,Modern
Adelaido,,62,62,Modern
Adelaine,120,,120,Modern
Adelayda,14,,14,Modern
Adelayde,12,,12,Modern
Adelbert,,287,287,Modern
Adele,5617,,5617,Modern
Adelee,6,,6,Modern
Adelei,15,,15,Modern
Adeleigh,20,,20,Modern
Adeleine,86,,86,Modern
Adeleke,,5,5,Modern
Adelena,79,,79,Modern
Adelene,174,,174,Modern
Adelfa,24,,24,Modern
Adelfo,,58,58,Modern
Adeli,21,,21,Modern
Adelia,1113,,1113,Modern
Adelicia,17,,17,Modern
Adelie,135,,135,Modern
Adelin,159,,159,Modern
Adelina,3646,,3646,Modern
Adeline,8190,,8190,Modern
Adelino,,5,5,Modern
Adelis,24,,24,Modern
Adelisa,104,,104,Modern
Adelise,5,,5,Modern
Adelita,984,,984,Modern
Adeliz,43,,43,Modern
Adell,461,169,630,Modern
Adella,868,,868,Modern
Adelle,1574,,1574,Modern
Adellia,5,,5,Modern
Adellyn,5,,5,Modern
Adely,53,,53,Modern
Adelyn,2810,,2810,Modern
Adelyna,10,,10,Modern
Adelyne,172,,172,Modern
Adelynn,1254,,1254,Modern
Adelynne,130,,130,Modern
Adem,,567,567,Modern
Ademir,,8,8,Modern
Ademola,,98,98,Modern
Aden,396,9254,9650,Modern
Adena,1227,,1227,Modern
Adenike,210,,210,Modern
Adeniyi,,15,15,Modern
Adenn,,6,6,Modern
Adeola,272,19,291,Modern
Adeolu,,5,5,Modern
Adeoluwa,,18,18,Modern
Adeon,,6,6,Modern
Adera,5,,5,Modern
Adero,5,,5,Modern
Aderonke,23,,23,Modern
Aderyn,18,,18,Modern
Adesh,,18,18,Modern
Adesha,5,,5,Modern
Adesina,5,,5,Modern
Adesola,16,,16,Modern
Adessa,228,,228,Modern
Adesuwa,78,,78,Modern
Adetayo,,12,12,Modern
Adetokunbo,5,78,83,Modern
Adetola,,5,5,Modern
Adeva,5,,5,Modern
Adewale,,117,117,Modern
Adeyemi,,91,91,Modern
Adeyinka,5,5,10,Modern
Adham,,461,461,Modern
Adharsh,,10,10,Modern
Adhav,,5,5,Modern
Adhem,,5,5,Modern
Adhemar,,36,36,Modern
Adhira,7,,7,Modern
Adhithi,5,,5,Modern
Adhitya,,12,12,Modern
Adhley,7,,7,Modern
Adhvaith,,5,5,Modern
Adhvik,,6,6,Modern
Adhya,60,,60,Modern
Adi,540,334,874,Modern
Adia,2188,,2188,Modern
Adiah,93,,93,Modern
Adiam,13,,13,Modern
Adian,,611,611,Modern
Adiana,199,,199,Modern
Adianez,41,,41,Modern
Adianna,128,,128,Modern
Adib,,153,153,Modern
Adiba,56,,56,Modern
Adidas,,16,16,Modern
Adie,44,,44,Modern
Adiel,40,628,668,Modern
